goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Year
1,0,0,10,76.92,0,0.0,5,83.33,4,0,96.88,10,66.67,169,1,1,1,2,0,0,0,0,0,0,0,0,0,31,0,93,2,1,16.67,0,0.0,1,6,0,0,3,2,0,33.33,0,0,0.61,0,0,0,Alejandro Grimaldo,Bayer 04 Leverkusen,177177,2681,24/25
3,0,0,2,22.22,4,66.67,0,0.0,0,0,76.0,6,40.0,160,2,1,6,2,0,0,0,3,1,0,0,0,0,5,0,19,1,0,0.0,0,0.0,0,2,0,0,7,4,1,42.86,0,0,2.0,0,0,0,Benjamin Šeško,RB Leipzig,986397,36360,24/25
1,0,0,11,64.71,0,0.0,0,0.0,6,2,84.62,11,61.11,180,5,3,2,2,0,0,0,7,1,0,0,0,0,29,2,66,4,1,7.69,3,60.0,0,0,0,0,6,3,3,16.67,0,0,1.21,0,0,0,Arne Engels,Celtic,1001867,2352,24/25
2,0,0,7,35.0,2,66.67,5,35.71,2,0,88.89,9,39.13,134,0,3,1,2,0,0,0,2,0,0,0,0,0,47,0,88,0,0,0.0,3,75.0,0,0,0,0,8,3,4,25.0,0,0,1.68,0,0,0,Michael Olise,FC Bayern München,978838,2672,24/25
1,0,0,7,41.18,0,0.0,2,33.33,4,1,84.0,7,36.84,149,1,1,4,2,0,0,0,0,0,0,0,0,0,21,1,42,4,4,80.0,0,0.0,0,0,1,1,5,1,0,20.0,1,0,0.4,0,0,0,Ademola Lookman,Atalanta,824200,2686,24/25
1,1,0,2,40.0,3,75.0,0,0.0,1,1,92.91,5,55.56,174,1,1,0,2,0,0,0,2,0,0,0,0,0,22,1,131,2,0,0.0,7,53.85,1,5,2,0,2,1,0,50.0,0,0,0.24,0,0,0,Iñigo Martínez,Barcelona,173883,2817,24/25
1,0,0,3,33.33,0,0.0,1,33.33,2,0,94.63,3,33.33,135,0,0,1,2,0,0,0,0,0,0,0,0,0,66,1,141,6,4,40.0,4,66.67,1,2,3,3,6,3,0,16.67,1,0,1.0,0,0,0,İlkay Gündoğan,Manchester City,45853,17,24/25
1,1,0,6,46.15,2,50.0,1,33.33,2,0,87.78,8,47.06,179,4,3,0,2,0,0,0,1,0,0,0,0,0,26,1,79,3,0,0.0,4,66.67,4,1,2,0,1,1,0,100.0,0,0,0.83,0,0,0,Alexis Mac Allister,Liverpool,895324,44,24/25
0,0,0,1,100.0,0,0.0,1,100.0,0,0,83.72,1,100.0,180,0,0,0,2,8,6,2,0,0,1,0,0,0,0,0,72,0,0,0.0,7,36.84,0,0,0,0,0,0,0,0.0,0,0,,0,0,0,Yann Sommer,Inter,16206,2697,24/25
0,0,0,0,0.0,0,0.0,0,0.0,0,0,52.5,0,0.0,180,0,0,0,2,17,12,4,8,1,2,0,0,0,1,0,21,0,0,0.0,8,30.77,0,1,1,0,0,0,0,0.0,0,0,,0,0,0,Dominik Takáč,ŠK Slovan Bratislava,886365,2404,24/25
2,0,0,3,50.0,2,28.57,1,100.0,0,0,72.73,5,38.46,155,3,1,1,2,0,0,0,2,0,0,0,0,0,7,1,24,2,0,0.0,0,0.0,0,0,1,0,5,2,3,40.0,0,0,1.98,0,0,0,Robert Lewandowski,Barcelona,41789,2817,24/25
0,1,0,7,77.78,12,50.0,1,100.0,2,2,79.55,19,57.58,175,4,2,0,2,0,0,0,1,0,0,0,0,0,20,3,35,7,2,66.67,2,100.0,0,0,0,1,1,0,0,0.0,0,0,0.14,0,0,0,Ludovic Ajorque,Stade Brestois,343971,1715,24/25
