goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Year
6,3,0,59,45.74,3,50.0,37,50.68,8,4,79.56,62,45.93,901,14,10,22,10,0,0,0,8,3,0,0,0,0,109,5,218,19,3,12.5,9,69.23,1,0,2,4,30,13,6,20.0,2,7,4.49,0,0,0,Vinícius Júnior,Real Madrid,868812,2829,23/24
6,1,0,28,65.12,4,36.36,11,91.67,4,1,72.05,32,59.26,597,14,7,6,8,0,0,0,2,2,0,0,0,0,49,1,116,10,1,25.0,9,90.0,4,2,2,3,17,12,1,35.29,1,7,,0,0,0,Álvaro Morata,Juventus,125407,2687,20/21
6,0,0,25,37.31,3,21.43,16,42.11,2,1,78.26,28,34.57,906,7,6,14,11,0,0,0,9,3,0,0,0,0,61,1,126,6,3,21.43,1,50.0,1,2,2,2,25,14,7,24.0,0,8,,0,0,0,Arnaut Danjuma,Villarreal,827064,2819,21/22
6,1,0,22,64.71,9,33.33,9,60.0,3,0,85.78,31,50.82,611,11,4,3,7,0,0,0,8,0,0,0,0,0,74,0,175,9,2,66.67,4,57.14,0,7,1,2,22,12,2,27.27,0,2,,0,0,0,Cristiano Ronaldo,Manchester United,750,35,21/22
6,1,0,10,55.56,12,41.38,3,100.0,1,0,72.73,22,46.81,390,9,2,6,8,0,0,0,8,1,0,0,0,0,17,0,40,5,1,100.0,0,0.0,2,7,1,1,16,10,1,37.5,0,2,,0,0,0,Youssef En-Nesyri,Sevilla,846470,2833,20/21
5,0,0,16,45.71,11,55.0,10,62.5,4,2,87.24,27,49.09,643,2,2,10,8,0,0,0,10,1,0,0,0,0,148,4,253,17,0,0.0,8,80.0,2,4,1,7,31,14,6,16.13,0,5,,0,0,0,Karim Benzema,Real Madrid,3306,2829,19/20
5,2,0,34,41.46,22,45.83,8,44.44,7,1,77.14,56,43.08,955,19,10,17,11,0,0,0,9,2,0,0,0,0,88,1,162,13,2,22.22,3,50.0,2,2,12,8,46,19,10,10.87,2,7,,0,0,0,Robert Lewandowski,FC Bayern München,41789,2672,17/18
5,0,0,15,46.88,2,33.33,4,66.67,2,1,81.62,17,44.74,416,9,6,6,5,0,0,0,7,1,0,0,0,0,47,2,111,5,0,0.0,9,100.0,1,0,4,1,16,9,6,31.25,0,4,,0,0,0,Ciro Immobile,Lazio,45923,2699,20/21
5,0,0,46,49.46,0,0.0,29,64.44,5,2,88.68,46,48.42,540,12,2,24,6,0,0,0,10,0,0,0,0,0,224,4,384,23,7,36.84,11,68.75,2,0,5,1,37,20,11,13.51,1,1,,0,0,0,Lionel Messi,Barcelona,12994,2817,20/21
5,1,0,13,39.39,4,28.57,4,44.44,2,3,77.18,17,36.17,539,8,7,6,8,0,0,0,7,0,0,0,0,0,36,2,115,8,1,11.11,8,88.89,2,0,3,3,16,7,4,31.25,0,4,,0,0,0,Alassane Pléa,Borussia M'gladbach,192308,2527,20/21
5,1,0,36,52.17,2,40.0,23,63.89,3,0,87.36,38,51.35,630,11,3,10,7,0,0,0,9,0,0,0,0,0,145,3,380,13,3,27.27,11,91.67,0,0,8,4,26,10,8,19.23,2,1,,0,0,0,Lionel Messi,Paris Saint-Germain,12994,1644,21/22
5,1,0,28,50.91,2,13.33,10,55.56,8,2,85.17,30,42.86,504,10,5,7,11,0,0,0,5,1,0,0,0,0,90,1,178,9,4,36.36,2,22.22,11,1,7,0,23,10,6,21.74,1,1,,0,0,0,Rodrygo,Real Madrid,910536,2829,21/22
5,0,1,22,48.89,15,44.12,3,33.33,8,2,73.99,37,46.84,613,11,9,3,7,0,0,0,1,0,0,0,0,0,46,6,128,14,1,100.0,0,0.0,1,10,7,3,24,12,6,20.83,1,2,5.98,0,0,0,Mehdi Taremi,FC Porto,812533,3002,22/23
5,1,0,52,44.07,5,21.74,24,61.54,11,2,71.17,57,40.43,1058,17,18,31,12,0,0,0,10,2,0,0,0,0,140,5,232,14,4,19.05,5,71.43,4,1,4,5,52,15,18,9.62,2,6,,1,0,0,Mohamed Salah,Liverpool,159665,44,18/19
5,1,0,20,57.14,16,66.67,5,50.0,5,0,68.75,36,61.02,423,10,5,6,6,0,0,0,3,0,0,0,0,0,15,2,33,3,1,33.33,1,100.0,1,7,1,4,16,8,2,31.25,1,9,4.93,0,0,0,Victor Osimhen,Napoli,822471,2714,22/23
5,0,0,33,45.21,5,38.46,14,43.75,7,2,88.32,38,44.19,825,12,4,13,12,0,0,0,10,2,0,0,0,0,139,3,310,13,1,8.33,5,71.43,9,6,5,0,25,12,5,20.0,1,2,4.69,0,0,0,Rodrygo,Real Madrid,910536,2829,22/23
5,1,0,29,42.65,3,50.0,15,46.88,4,5,85.25,32,43.24,652,10,5,12,10,0,0,0,4,1,0,0,0,0,91,7,208,13,1,7.69,5,62.5,1,0,6,10,30,18,5,16.67,0,5,,0,0,0,Kylian Mbappé,Paris Saint-Germain,826643,1644,19/20
5,2,0,28,44.44,7,25.93,7,43.75,6,0,66.67,35,38.89,521,15,7,13,6,0,0,0,7,2,0,0,0,0,26,2,58,7,0,0.0,4,50.0,2,1,8,2,25,13,4,20.0,0,7,,0,0,0,Lautaro Martínez,Inter,823984,2697,19/20
5,1,0,44,55.0,19,41.3,13,48.15,9,1,78.03,63,50.0,777,22,8,12,9,0,0,0,8,3,0,0,0,0,63,2,135,10,0,0.0,10,66.67,2,7,2,4,32,15,12,15.63,1,9,,0,0,0,Harry Kane,Tottenham Hotspur,108579,33,18/19
5,0,0,4,30.77,17,70.83,0,0.0,1,0,76.25,21,56.76,293,3,4,6,11,0,0,0,1,1,0,0,0,0,22,0,61,4,0,0.0,1,50.0,0,4,0,3,30,9,5,16.67,2,2,5.44,0,0,0,Joselu,Real Madrid,69418,2829,23/24
5,2,0,14,31.11,12,38.71,3,25.0,5,1,74.03,26,34.21,667,6,15,9,10,0,0,0,9,0,0,0,0,0,35,0,114,3,1,33.33,5,45.45,0,9,2,7,25,10,8,20.0,1,3,4.6,0,0,0,Álvaro Morata,Atlético Madrid,125407,2836,23/24
5,0,0,18,48.65,12,63.16,3,50.0,5,0,68.29,30,53.57,442,10,5,11,5,0,0,0,8,1,0,0,0,0,40,3,84,7,2,33.33,1,50.0,1,6,0,2,24,11,7,20.83,0,2,3.15,0,0,0,Robert Lewandowski,Barcelona,41789,2817,22/23
5,0,0,13,37.14,1,20.0,6,50.0,1,1,84.65,14,35.0,481,6,2,10,6,0,0,0,11,2,0,0,0,0,72,1,171,9,4,18.18,9,64.29,2,2,4,0,18,8,2,27.78,0,2,,0,0,0,Andrej Kramarić,TSG Hoffenheim,67647,2569,18/19
5,2,0,18,33.33,33,60.0,9,50.0,2,3,66.18,51,46.79,570,8,11,15,6,0,0,0,6,2,0,0,0,0,38,3,90,7,1,25.0,5,62.5,0,8,3,3,29,14,6,17.24,2,6,,0,0,0,Edin Džeko,Roma,14990,2702,18/19
5,1,0,8,57.14,8,47.06,1,100.0,1,0,73.68,16,51.61,480,8,3,3,7,0,0,0,2,0,0,0,0,0,17,1,56,3,0,0.0,1,20.0,0,5,1,2,12,7,1,41.67,0,3,,0,0,0,Mauro Icardi,Paris Saint-Germain,233114,1644,19/20
5,1,0,33,56.9,1,12.5,11,52.38,6,0,89.27,34,51.52,518,16,5,9,9,0,0,0,3,1,0,0,0,0,82,0,258,7,4,26.67,16,88.89,2,0,3,2,21,10,4,23.81,2,2,,0,1,0,Paulo Dybala,Juventus,256219,2687,18/19
5,0,0,34,40.96,3,27.27,18,43.9,8,2,92.18,37,39.36,1022,8,4,13,13,0,0,0,11,3,0,0,0,0,162,3,330,18,4,40.0,6,60.0,2,2,10,8,38,19,10,13.16,1,2,5.71,0,0,0,Rodrygo,Real Madrid,910536,2829,23/24
5,0,0,11,30.56,9,52.94,5,41.67,0,0,67.61,20,37.74,489,6,8,11,6,0,0,0,9,2,0,0,0,0,14,0,48,3,1,50.0,1,50.0,1,0,0,1,11,6,2,45.45,0,1,3.31,0,0,0,Rasmus Højlund,Manchester United,1086417,35,23/24
5,0,0,11,26.83,12,34.29,2,25.0,1,2,65.93,23,30.26,495,8,9,15,6,0,0,0,5,1,0,0,0,0,23,2,89,4,0,0.0,3,75.0,0,1,0,1,15,10,1,33.33,0,3,,0,0,0,Vincent Aboubakar,FC Porto,116869,3002,17/18
5,0,0,27,50.94,36,52.17,15,68.18,6,0,70.33,63,51.64,704,6,7,12,8,0,0,0,5,0,0,0,0,0,58,2,128,13,1,12.5,9,69.23,0,4,2,6,26,13,6,19.23,0,3,,0,0,0,Romelu Lukaku,Manchester United,78893,35,17/18
5,1,0,15,35.71,50,58.14,0,0.0,7,2,64.98,65,50.78,940,8,12,9,12,0,0,0,10,0,0,0,0,0,47,2,141,9,0,0.0,2,40.0,2,15,6,6,26,16,3,19.23,0,9,5.72,0,0,0,Olivier Giroud,Milan,39070,2692,22/23
5,1,0,44,58.67,5,33.33,18,72.0,10,1,78.47,49,54.44,829,16,6,13,10,0,0,0,11,1,0,0,0,0,64,2,164,11,0,0.0,18,81.82,4,7,5,4,24,13,7,20.83,1,8,,0,1,0,Gonzalo Higuaín,Juventus,19438,2687,17/18
5,0,0,19,39.58,2,16.67,13,68.42,5,1,83.13,21,35.0,600,1,6,14,9,0,0,0,9,0,0,0,0,0,80,1,202,12,2,50.0,5,62.5,1,8,4,4,18,11,2,27.78,0,6,,0,0,0,Karim Benzema,Real Madrid,3306,2829,17/18
5,0,0,15,39.47,9,33.33,6,50.0,2,0,79.69,24,36.92,514,7,5,11,6,0,0,0,5,0,0,0,0,0,42,0,102,6,0,0.0,4,100.0,2,4,1,2,23,10,5,21.74,1,3,,0,0,0,Robert Lewandowski,FC Bayern München,41789,2672,20/21
5,0,0,25,48.08,1,33.33,13,61.9,8,1,81.89,26,47.27,365,4,4,6,6,0,0,0,5,4,0,0,0,0,48,2,104,5,1,14.29,2,50.0,2,1,9,4,18,11,1,27.78,1,3,,0,0,0,Heung-min Son,Tottenham Hotspur,111505,33,19/20
5,2,0,24,57.14,5,55.56,8,57.14,2,2,73.18,29,56.86,566,16,6,4,7,0,0,0,12,0,0,0,0,0,56,1,131,11,1,100.0,7,77.78,4,4,2,2,22,14,4,22.73,0,3,,0,0,0,Luis Suárez,Barcelona,16943,2817,19/20
5,0,0,9,34.62,1,33.33,6,66.67,3,2,90.8,10,34.48,278,0,1,10,7,0,0,0,2,0,0,0,0,0,85,2,148,16,8,40.0,3,75.0,0,2,3,1,15,10,3,33.33,0,0,1.74,0,0,0,Julián Álvarez,Manchester City,944656,17,23/24
4,0,0,14,36.84,0,0.0,4,30.77,6,1,66.25,14,36.84,330,4,3,5,5,0,0,0,6,0,0,0,0,0,18,2,53,11,6,60.0,4,44.44,3,0,7,1,13,7,3,30.77,0,0,,0,0,2,Pedro Gonçalves,Sporting,895764,3001,21/22
4,3,0,20,52.63,2,25.0,12,80.0,5,1,87.3,22,47.83,352,3,9,5,8,0,0,0,3,0,0,0,0,0,56,1,110,3,0,0.0,3,100.0,2,1,1,1,9,7,1,44.44,0,4,,0,0,0,Gabriel Jesus,Manchester City,794839,17,21/22
4,1,0,56,47.86,6,23.08,36,63.16,10,1,82.84,62,43.36,914,10,16,16,13,0,0,0,12,2,0,0,0,0,122,3,280,15,2,16.67,15,83.33,3,1,9,3,29,11,11,13.79,2,2,,0,0,0,Luis Díaz,Liverpool,883537,44,21/22
